omega_fl,omega_fr,omega_rl,omega_rr,axG,map_motor
0,0,0,0,-0.471535248356046,6
0,0,0,0,-0.471535248356046,6
0,0,0,0,-0.471535248356046,6
0,0,0,0,-0.471535248356046,6
0,0,0,0,-0.471535248356046,6
0,0,0,0,-0.471535248356046,6
0,0,0,0,-0.471535248356046,6
0,0,0,0,-0.471535248356046,6
0,0,0,0,-0.471535248356046,6
0,0,0,0,-0.471535248356046,6
0,0,0,0,-0.471535248356046,6
0,0,0,0,-0.471535248356046,6
0,0,0,0,-0.471535248356046,6
0,0,0,0,-0.471535248356046,6
0,0,0,0,-0.471535248356046,6
0,0,0,0,-0.471535248356046,6
0,0,0,0,-0.471535248356046,6
0,0,0,0,-0.471535248356046,6
0,0,0,0,-0.471535248356046,6
0,0,0,0,-0.471535248356046,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.271913818258514,-0.271913818258514,0.387673730296105,0.387673730296105,1.42885685383832,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.288658954849266,-0.288658954849266,0.386511050279984,0.386511050279984,1.14636974479045,6
-0.296298011680503,-0.296298011680503,0.382349619931799,0.382349619931799,0.983419480904075,6
-0.296298011680503,-0.296298011680503,0.382349619931799,0.382349619931799,0.983419480904075,6
-0.296298011680503,-0.296298011680503,0.382349619931799,0.382349619931799,0.983419480904075,6
-0.296298011680503,-0.296298011680503,0.382349619931799,0.382349619931799,0.983419480904075,6
-0.296298011680503,-0.296298011680503,0.382349619931799,0.382349619931799,0.983419480904075,6
-0.296298011680503,-0.296298011680503,0.382349619931799,0.382349619931799,0.983419480904075,6
-0.296298011680503,-0.296298011680503,0.382349619931799,0.382349619931799,0.983419480904075,6
-0.296298011680503,-0.296298011680503,0.382349619931799,0.382349619931799,0.983419480904075,6
-0.296298011680503,-0.296298011680503,0.382349619931799,0.382349619931799,0.983419480904075,6
-0.296298011680503,-0.296298011680503,0.382349619931799,0.382349619931799,0.983419480904075,6
-0.296298011680503,-0.296298011680503,0.382349619931799,0.382349619931799,0.983419480904075,6
-0.296298011680503,-0.296298011680503,0.382349619931799,0.382349619931799,0.983419480904075,6
-0.296298011680503,-0.296298011680503,0.382349619931799,0.382349619931799,0.983419480904075,6
-0.296298011680503,-0.296298011680503,0.382349619931799,0.382349619931799,0.983419480904075,6
