u_bar,Tm_rr,Tm_rl
0,55,55
-0.00235767624178023,55,55
-0.00235708689639103,55,55
-0.00235649769831976,55,55
-0.00235590864752959,55,55
-0.00235531974398372,55,55
-0.00235473098764534,55,55
-0.00235414237847764,55,55
-0.00235355391644384,55,55
-0.00235296560150716,55,55
-0.00235237743363083,55,55
-0.00235178941277809,55,55
-0.00235120153891219,55,55
-0.00235061381199639,55,55
-0.00235002623199395,55,55
-0.00234943879886815,55,55
-0.00234885151258228,55,55
-0.00234826437309963,55,55
-0.0023476773803835,55,55
-0.00234709053439721,55,55
-0.0572690164160501,55,55
-0.047766538341949,55,55
-0.0477683961014105,55,55
-0.0477702533964902,55,55
-0.0477721102273042,55,55
-0.0477739665939685,55,55
-0.0477758224965991,55,55
-0.0477776779353121,55,55
-0.0477795329102233,55,55
-0.0477813874214488,55,55
-0.0477832414691045,55,55
-0.0477850950533062,55,55
-0.0477869481741697,55,55
-0.0477888008318109,55,55
-0.0477906530263456,55,55
-0.0477925047578895,55,55
-0.0477943560265585,55,55
-0.0477962068324681,55,55
-0.047798057175734,55,55
-0.047799907056472,55,55
-0.0519248901998176,55,55
-0.0523280586685453,55,55
-0.0523298120242237,55,55
-0.0523315649416179,55,55
-0.0523333174208376,55,55
-0.0523350694619922,55,55
-0.0523368210651913,55,55
-0.0523385722305443,55,55
-0.0523403229581607,55,55
-0.0523420732481499,55,55
-0.0523438231006213,55,55
-0.0523455725156843,55,55
-0.0523473214934482,55,55
-0.0523490700340222,55,55
-0.0523508181375158,55,55
-0.0523525658040381,55,55
-0.0523543130336984,55,55
-0.0523560598266059,55,55
-0.0523578061828697,55,55
-0.0523595521025991,55,55
-0.0571116890917079,55,55
-0.0566151960505342,55,55
-0.0566170711723507,55,55
-0.0566189458254453,55,55
-0.0566208200099352,55,55
-0.0566226937259375,55,55
-0.0566245669735694,55,55
-0.0566264397529479,55,55
-0.0566283120641901,55,55
-0.056630183907413,55,55
-0.0566320552827336,55,55
-0.0566339261902688,55,55
-0.0566357966301356,55,55
-0.0566376666024509,55,55
-0.0566395361073315,55,55
-0.0566414051448943,55,55
-0.0566432737152562,55,55
-0.0566451418185338,55,55
-0.056647009454844,55,55
-0.0566488766243035,55,55
-0.0503586643342295,55,55
-0.0498209588254613,55,55
-0.0498229515675108,55,55
-0.0498249438114371,55,55
-0.0498269355573647,55,55
-0.049828926805418,55,55
-0.0498309175557215,55,55
-0.0498329078083997,55,55
-0.0498348975635769,55,55
-0.0498368868213774,55,55
-0.0498388755819257,55,55
-0.049840863845346,55,55
-0.0498428516117625,55,55
-0.0498448388812996,55,55
-0.0498468256540813,55,55
-0.049848811930232,55,55
-0.0498507977098757,55,55
-0.0498527829931365,55,55
-0.0498547677801385,55,55
-0.0498567520710058,55,55
-0.0359232478810197,55,55
-0.0358717784246536,55,55
-0.035873757084673,55,55
-0.0358757352500892,55,55
-0.0358777129210259,55,55
-0.0358796900976066,55,55
-0.035881666779955,55,55
-0.0358836429681946,55,55
-0.0358856186624488,55,55
-0.0358875938628413,55,55
-0.0358895685694953,55,55
-0.0358915427825344,55,55
-0.0358935165020819,55,55
-0.0358954897282612,55,55
-0.0358974624611956,55,55
-0.0358994347010085,55,55
-0.035901406447823,55,55
-0.0359033777017624,55,55
-0.0359053484629499,55,55
-0.0359073187315087,55,55
-0.0168848256915041,55,55
-0.0170237527127541,55,55
-0.0170256633719191,55,55
-0.0170275735534789,55,55
-0.017029483257553,55,55
-0.0170313924842608,55,55
-0.0170333012337215,55,55
-0.0170352095060546,55,55
-0.0170371173013791,55,55
-0.0170390246198145,55,55
-0.0170409314614798,55,55
-0.0170428378264944,55,55
-0.0170447437149772,55,55
-0.0170466491270475,55,55
-0.0170485540628243,55,55
-0.0170504585224266,55,55
-0.0170523625059736,55,55
-0.0170542660135842,55,55
-0.0170561690453774,55,55
-0.017058071601472,55,55
0.00556152450345985,55,55
0.00532343112008267,55,55
0.0053216174463498,55,55
0.00531980422597869,55,55
0.00531799145885601,55,55
0.00531617914486847,55,55
0.0053143672839028,55,55
0.00531255587584575,55,55
0.00531074492058412,55,55
0.00530893441800471,55,55
0.00530712436799437,55,55
0.00530531477043998,55,55
0.00530350562522843,55,55
0.00530169693224665,55,55
0.00529988869138161,55,55
0.00529808090252027,55,55
0.00529627356554966,55,55
0.00529446668035682,55,55
0.00529266024682882,55,55
0.00529085426485275,55,55
0.0301718565760571,55,55
0.0299554617508326,55,55
0.0299537420194681,55,55
0.0299520227179826,55,55
0.0299503038462688,55,55
0.0299485854042192,55,55
0.0299468673917264,55,55
0.0299451498086831,55,55
0.0299434326549818,55,55
0.0299417159305154,55,55
0.0299399996351764,55,55
0.0299382837688576,55,55
0.0299365683314517,55,55
0.0299348533228516,55,55
0.0299331387429501,55,55
0.02993142459164,55,55
0.0299297108688141,55,55
0.0299279975743654,55,55
0.0299262847081868,55,55
0.0299245722701712,55,55
0.0559729548702214,55,55
0.0559081370509472,55,55
0.0559064743935251,55,55
0.0559048121517154,55,55
