u_bar,Tm_rr,Tm_rl
11.0555555555556,55,55
11.050198983589,55,55
11.0502142097175,55,55
11.05022943204,55,55
11.0502446505574,55,55
11.0502598652706,55,55
11.0502750761806,55,55
11.0502902832884,55,55
11.0503054865948,55,55
11.050320686101,55,55
11.0503358818077,55,55
11.0503510737159,55,55
11.0503662618267,55,55
11.0503814461409,55,55
11.0503966266595,55,55
11.0504118033834,55,55
11.0504269763137,55,55
11.0504421454511,55,55
11.0504573107968,55,55
11.0504724723516,55,55
11.0427970151937,55,55
11.0440313295147,55,55
11.0440461652903,55,55
11.0440609973573,55,55
11.0440758257168,55,55
11.0440906503697,55,55
11.0441054713169,55,55
11.0441202885593,55,55
11.0441351020979,55,55
11.0441499119335,55,55
11.0441647180672,55,55
11.0441795204997,55,55
11.0441943192322,55,55
11.0442091142654,55,55
11.0442239056003,55,55
11.0442386932378,55,55
11.0442534771789,55,55
11.0442682574245,55,55
11.0442830339754,55,55
11.0442978068327,55,55
11.0373483527272,55,55
11.0385494363768,55,55
11.0385638928682,55,55
11.0385783457459,55,55
11.0385927950109,55,55
11.0386072406639,55,55
11.0386216827061,55,55
11.0386361211382,55,55
11.0386505559611,55,55
11.0386649871757,55,55
11.038679414783,55,55
11.0386938387839,55,55
11.0387082591792,55,55
11.0387226759699,55,55
11.0387370891568,55,55
11.0387514987408,55,55
11.038765904723,55,55
11.038780307104,55,55
11.038794705885,55,55
11.0388091010667,55,55
11.0342215241936,55,55
11.0354069258491,55,55
11.035421011741,55,55
11.0354350941118,55,55
11.0354491729625,55,55
11.0354632482939,55,55
11.0354773201069,55,55
11.0354913884024,55,55
11.0355054531813,55,55
11.0355195144444,55,55
11.0355335721927,55,55
11.0355476264269,55,55
11.0355616771481,55,55
11.0355757243569,55,55
11.0355897680545,55,55
11.0356038082415,55,55
11.0356178449189,55,55
11.0356318780876,55,55
11.0356459077485,55,55
11.0356599339023,55,55
11.0332583425121,55,55
11.0342763754035,55,55
11.0342901370353,55,55
11.0343038952271,55,55
11.0343176499799,55,55
11.0343314012943,55,55
11.0343451491714,55,55
11.0343588936119,55,55
11.0343726346168,55,55
11.0343863721868,55,55
11.0344001063229,55,55
11.0344138370258,55,55
11.0344275642965,55,55
11.0344412881358,55,55
11.0344550085446,55,55
11.0344687255238,55,55
11.0344824390741,55,55
11.0344961491964,55,55
11.0345098558916,55,55
11.0345235591606,55,55
11.033901465905,55,55
11.0346711861386,55,55
11.034684689353,55,55
