u_bar,Tm_rr,Tm_rl
11.0555555555556,55,55
11.050198983589,55,55
11.0502142097175,55,55
11.05022943204,55,55
11.0502446505574,55,55
11.0502598652706,55,55
11.0502750761806,55,55
11.0502902832884,55,55
11.0503054865948,55,55
11.050320686101,55,55
11.0503358818077,55,55
11.0503510737159,55,55
11.0503662618267,55,55
11.0503814461409,55,55
11.0503966266595,55,55
11.0504118033834,55,55
11.0504269763137,55,55
11.0504421454511,55,55
11.0504573107968,55,55
11.0504724723516,55,55
11.0427970151842,55,55
11.044031329518,55,55
11.0440461652936,55,55
11.0440609973606,55,55
11.0440758257201,55,55
11.044090650373,55,55
11.0441054713202,55,55
11.0441202885626,55,55
11.0441351021012,55,55
11.0441499119368,55,55
11.0441647180704,55,55
11.044179520503,55,55
11.0441943192354,55,55
11.0442091142686,55,55
11.0442239056035,55,55
11.0442386932411,55,55
11.0442534771822,55,55
11.0442682574277,55,55
11.0442830339787,55,55
11.044297806836,55,55
11.0373483512618,55,55
11.0385494356573,55,55
11.0385638921485,55,55
11.038578345026,55,55
11.0385927942908,55,55
11.0386072399437,55,55
11.0386216819857,55,55
11.0386361204175,55,55
11.0386505552403,55,55
11.0386649864547,55,55
11.0386794140618,55,55
11.0386938380625,55,55
11.0387082584576,55,55
11.0387226752481,55,55
11.0387370884348,55,55
11.0387514980187,55,55
11.0387659040006,55,55
11.0387803063815,55,55
11.0387947051623,55,55
11.0388091003437,55,55
11.0342215045223,55,55
11.0354069125776,55,55
11.0354209984677,55,55
11.0354350808367,55,55
11.0354491596856,55,55
11.0354632350152,55,55
11.0354773068264,55,55
11.0354913751201,55,55
11.0355054398971,55,55
11.0355195011584,55,55
11.0355335589049,55,55
11.0355476131373,55,55
11.0355616638566,55,55
11.0355757110637,55,55
11.0355897547594,55,55
11.0356037949447,55,55
11.0356178316203,55,55
11.0356318647872,55,55
11.0356458944462,55,55
11.0356599205983,55,55
11.033258227872,55,55
11.0342762860246,55,55
11.0342900476482,55,55
11.0343038058318,55,55
11.0343175605763,55,55
11.0343313118825,55,55
11.0343450597513,55,55
11.0343588041836,55,55
11.0343725451802,55,55
11.034386282742,55,55
11.0344000168698,55,55
11.0344137475646,55,55
11.0344274748271,55,55
11.0344411986582,55,55
11.0344549190587,55,55
11.0344686360296,55,55
11.0344823495717,55,55
11.0344960596858,55,55
11.0345097663729,55,55
11.0345234696336,55,55
11.0339010260326,55,55
11.0346708124319,55,55
11.0346843156212,55,55
