u_bar,Tm_rr,Tm_rl
0,55,55
-0.00235767624178023,55,55
-0.00235708689639103,55,55
-0.00235649769831976,55,55
-0.00235590864752959,55,55
-0.00235531974398372,55,55
-0.00235473098764534,55,55
-0.00235414237847764,55,55
-0.00235355391644384,55,55
-0.00235296560150716,55,55
-0.00235237743363083,55,55
-0.00235178941277809,55,55
-0.00235120153891219,55,55
-0.00235061381199639,55,55
-0.00235002623199395,55,55
-0.00234943879886815,55,55
-0.00234885151258228,55,55
-0.00234826437309963,55,55
-0.0023476773803835,55,55
-0.00234709053439721,55,55
-0.0572690164160501,55,55
-0.047766538341949,55,55
-0.0477683961014105,55,55
-0.0477702533964902,55,55
-0.0477721102273042,55,55
-0.0477739665939685,55,55
-0.0477758224965991,55,55
-0.0477776779353121,55,55
-0.0477795329102233,55,55
-0.0477813874214488,55,55
-0.0477832414691045,55,55
-0.0477850950533062,55,55
-0.0477869481741697,55,55
-0.0477888008318109,55,55
-0.0477906530263456,55,55
-0.0477925047578895,55,55
-0.0477943560265585,55,55
-0.0477962068324681,55,55
-0.047798057175734,55,55
-0.047799907056472,55,55
-0.052735106790264,55,55
-0.0507133938260448,55,55
-0.050715754344043,55,55
-0.0507181142719855,55,55
-0.0507204736100197,55,55
-0.0507228323582932,55,55
-0.0507251905169532,55,55
-0.0507275480861473,55,55
-0.0507299050660228,55,55
-0.0507322614567269,55,55
-0.050734617258407,55,55
-0.0507369724712103,55,55
-0.050739327095284,55,55
-0.0507416811307753,55,55
-0.0507440345778312,55,55
-0.0507463874365989,55,55
-0.0507487397072254,55,55
-0.0507510913898578,55,55
-0.050753442484643,55,55
-0.050755792991728,55,55
-0.0355553521857186,55,55
-0.0362126739912232,55,55
-0.0362148399168404,55,55
-0.036217005301044,55,55
-0.0362191701439691,55,55
-0.0362213344457512,55,55
-0.0362234982065254,55,55
-0.0362256614264271,55,55
-0.0362278241055914,55,55
-0.0362299862441535,55,55
-0.0362321478422485,55,55
-0.0362343089000115,55,55
-0.0362364694175776,55,55
-0.0362386293950818,55,55
-0.0362407888326591,55,55
-0.0362429477304446,55,55
-0.036245106088573,55,55
-0.0362472639071793,55,55
-0.0362494211863985,55,55
-0.0362515779263652,55,55
-0.014590519324649,55,55
-0.0152923207543194,55,55
-0.0152942737760654,55,55
-0.0152962263096169,55,55
-0.0152981783550961,55,55
-0.0153001299126249,55,55
-0.0153020809823253,55,55
-0.0153040315643193,55,55
-0.0153059816587287,55,55
-0.0153079312656754,55,55
-0.0153098803852813,55,55
-0.0153118290176683,55,55
-0.015313777162958,55,55
-0.0153157248212722,55,55
-0.0153176719927328,55,55
-0.0153196186774613,55,55
-0.0153215648755795,55,55
-0.0153235105872089,55,55
-0.0153254558124713,55,55
-0.0153274005514881,55,55
0.0114518714020849,55,55
0.0100478909722091,55,55
0.0100463317970942,55,55
0.0100447730117244,55,55
0.0100432146160022,55,55
0.0100416566098303,55,55
0.0100400989931112,55,55
0.0100385417657476,55,55
0.0100369849276422,55,55
0.0100354284786976,55,55
0.0100338724188167,55,55
0.0100323167479021,55,55
0.0100307614658566,55,55
0.0100292065725831,55,55
0.0100276520679843,55,55
0.010026097951963,55,55
0.0100245442244222,55,55
0.0100229908852648,55,55
0.0100214379343936,55,55
0.0100198853717115,55,55
0.0417145928146605,55,55
0.0370540208882935,55,55
0.0370536739134943,55,55
0.0370533270254279,55,55
0.0370529802240727,55,55
0.037052633509407,55,55
0.0370522868814091,55,55
0.0370519403400574,55,55
0.0370515938853302,55,55
0.0370512475172058,55,55
0.0370509012356627,55,55
0.0370505550406791,55,55
0.0370502089322335,55,55
0.0370498629103041,55,55
0.0370495169748695,55,55
0.0370491711259078,55,55
0.0370488253633977,55,55
0.0370484796873173,55,55
0.0370481340976451,55,55
0.0370477885943596,55,55
0.0752542439062775,55,55
0.0764613575313434,55,55
0.0764607584525733,55,55
0.0764601595235541,55,55
0.0764595607442485,55,55
0.076458962114619,55,55
0.0764583636346283,55,55
0.0764577653042388,55,55
0.0764571671234132,55,55
0.0764565690921141,55,55
0.0764559712103042,55,55
0.0764553734779461,55,55
0.0764547758950023,55,55
0.0764541784614356,55,55
0.0764535811772086,55,55
0.0764529840422841,55,55
0.0764523870566246,55,55
0.0764517902201929,55,55
0.0764511935329516,55,55
0.0764505969948635,55,55
0.120998669986184,55,55
0.125039945958428,55,55
0.125038395484491,55,55
0.125036845398123,55,55
0.125035295699229,55,55
0.125033746387711,55,55
0.125032197463473,55,55
0.125030648926417,55,55
0.125029100776447,55,55
0.125027553013466,55,55
0.125026005637378,55,55
0.125024458648085,55,55
0.125022912045491,55,55
0.1250213658295,55,55
0.125019820000014,55,55
0.125018274556937,55,55
0.125016729500173,55,55
0.125015184829625,55,55
0.125013640545196,55,55
0.12501209664679,55,55
0.172512147928839,55,55
0.174419792933652,55,55
0.174417832623271,55,55
0.174415872802907,55,55
0.174413913472437,55,55
0.174411954631738,55,55
0.174409996280688,55,55
0.174408038419164,55,55
0.174406081047045,55,55
0.174404124164208,55,55
